Wed May 26 00:20:14 2021, failed_to_connect_to_the_match
Wed May 26 00:20:15 2021, lost_connection_geographical
Wed May 26 00:20:17 2021, lost_connection_geographical
Wed May 26 00:20:19 2021, lost_connection_geographical
Wed May 26 00:20:22 2021, lost_connection_geographical
Wed May 26 00:20:24 2021, lost_connection_geographical
Wed May 26 04:33:22 2021, failed_to_connect_to_the_match
Wed May 26 04:33:23 2021, failed_to_connect_to_the_match
Wed May 26 04:33:24 2021, failed_to_connect_to_the_match
Wed May 26 04:39:08 2021, lost_connection_geographical
Wed May 26 04:39:09 2021, lost_connection_geographical
Wed May 26 04:39:10 2021, lost_connection_geographical
Wed May 26 04:39:11 2021, lost_connection_geographical
Wed May 26 04:39:13 2021, lost_connection_geographical
Wed May 26 04:39:21 2021, failed_to_connect_to_the_match
Wed May 26 04:39:23 2021, failed_to_connect_to_the_match
Wed May 26 04:39:25 2021, failed_to_connect_to_the_match
Wed May 26 04:39:27 2021, failed_to_connect_to_the_match
Wed May 26 04:39:29 2021, failed_to_connect_to_the_match
Wed May 26 05:12:22 2021, kicked_due_to_inactivity
Wed May 26 05:13:12 2021, kicked_due_to_inactivity
Wed May 26 09:30:53 2021, failed_to_connect_to_the_match
Wed May 26 09:30:54 2021, failed_to_connect_to_the_match
Wed May 26 09:30:56 2021, failed_to_connect_to_the_match
Wed May 26 09:30:57 2021, failed_to_connect_to_the_match
Wed May 26 09:30:58 2021, failed_to_connect_to_the_match
Wed May 26 09:30:59 2021, lost_connection_geographical
Wed May 26 09:31:01 2021, lost_connection_geographical
Wed May 26 09:31:03 2021, lost_connection_geographical
Wed May 26 09:31:06 2021, lost_connection_geographical
Wed May 26 09:31:08 2021, lost_connection_geographical
Wed May 26 10:24:40 2021, lost_connection_geographical
Wed May 26 10:24:42 2021, lost_connection_geographical
Wed May 26 10:24:43 2021, lost_connection_geographical
Wed May 26 10:24:44 2021, lost_connection_geographical
Wed May 26 10:24:45 2021, lost_connection_geographical
Wed May 26 10:24:54 2021, failed_to_connect_to_the_match
Wed May 26 10:24:56 2021, failed_to_connect_to_the_match
Wed May 26 10:24:58 2021, failed_to_connect_to_the_match
Wed May 26 10:25:00 2021, failed_to_connect_to_the_match
Wed May 26 10:25:02 2021, failed_to_connect_to_the_match
Wed May 26 19:51:39 2021, lost_connection_geographical
Wed May 26 19:51:56 2021, lost_connection_geographical
Wed May 26 19:51:58 2021, lost_connection_geographical
Wed May 26 19:52:00 2021, lost_connection_geographical
Wed May 26 19:52:03 2021, lost_connection_geographical
Wed May 26 19:52:05 2021, failed_to_connect_to_the_match
Wed May 26 19:52:21 2021, failed_to_connect_to_the_match
Wed May 26 19:52:24 2021, failed_to_connect_to_the_match
Wed May 26 19:52:26 2021, failed_to_connect_to_the_match
Wed May 26 19:52:28 2021, failed_to_connect_to_the_match
Wed May 26 21:07:41 2021, failed_to_connect_to_the_match
Wed May 26 21:07:42 2021, failed_to_connect_to_the_match
Wed May 26 21:07:43 2021, failed_to_connect_to_the_match
Wed May 26 21:07:45 2021, failed_to_connect_to_the_match
Wed May 26 21:07:46 2021, failed_to_connect_to_the_match
Wed May 26 21:07:47 2021, lost_connection_geographical
Wed May 26 21:07:49 2021, lost_connection_geographical
Wed May 26 21:07:51 2021, lost_connection_geographical
Wed May 26 21:07:53 2021, lost_connection_geographical
Wed May 26 21:07:55 2021, lost_connection_geographical
Wed May 26 21:28:09 2021, failed_to_connect_to_the_match
Wed May 26 21:28:10 2021, failed_to_connect_to_the_match
Wed May 26 21:28:12 2021, failed_to_connect_to_the_match
Wed May 26 21:31:36 2021, failed_to_connect_to_the_match
Wed May 26 21:38:00 2021, failed_to_connect_to_the_match
Wed May 26 21:38:01 2021, failed_to_connect_to_the_match
Wed May 26 21:38:02 2021, failed_to_connect_to_the_match
